,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
665,4.97,3.97,1.89,6.93,5.28,7.05,2.09,2.11,0.55,2.08,3.28,3.34,0.56,2.88,4.73,5.05,7.03,3.35,0.26,0.34
666,2.47,1.34,1.66,1.94,6.13,5.51,0.01,1.85,1.67,2.93,0.11,4.41,4.41,3.34,2.7,0.41,0.33,0.24,-0.09,0.33
667,0.48,0.9,2.37,1.89,8.96,6.9,2.2,2.63,4.09,2.02,1.47,0.3,-0.24,0.76,11.73,4.46,2.19,0.85,0.51,0.25
668,2.84,0.2,1.51,5.25,,4.68,1.7,0.21,-0.5,0.78,1.14,0.77,0.51,2.91,0.91,1.55,-1.13,1.18,-0.25,-1.38
669,3.72,2.51,1.27,2.5,0.58,3.68,-0.23,0.1,0.82,-1.24,4.11,0.99,-1.84,1.76,2.35,2.29,1.3,0.0,1.8,-0.38
670,3.67,1.34,1.32,1.94,6.13,1.85,1.67,1.66,2.93,-0.99,0.4,3.34,-0.07,2.88,4.73,5.05,7.03,3.35,-0.81,-0.87
671,1.91,3.52,0.3,-0.24,11.73,2.19,4.46,0.85,0.51,0.25,3.66,2.11,1.89,6.93,5.28,7.05,2.09,-0.64,0.55,2.08
672,4.48,0.77,0.51,2.91,0.91,1.55,-1.13,1.18,-0.25,-1.38,1.7,-0.23,1.27,2.51,2.5,3.68,0.1,-0.73,0.2,-2.04
673,2.54,0.99,-1.84,2.29,2.35,1.3,0.0,1.8,1.44,-0.38,0.2,1.89,-0.29,2.63,8.96,6.9,2.2,-0.04,4.09,2.02
674,2.55,2.11,1.89,6.93,5.28,7.05,2.09,-0.64,0.55,2.08,-0.54,0.21,1.51,5.25,,4.68,1.7,0.2,-0.5,0.78
675,1.18,1.34,1.66,1.94,6.13,1.85,0.01,1.67,2.93,-0.99,4.5,3.34,0.56,2.88,4.73,5.05,7.03,3.35,0.34,-0.87
676,-0.62,-0.23,1.27,2.51,2.5,3.68,0.58,-0.43,0.82,-2.04,4.24,3.52,1.03,-0.24,11.73,4.46,2.19,0.85,0.51,0.25
677,4.29,0.99,0.16,1.76,2.35,1.3,2.29,1.8,-0.01,-0.38,-0.12,0.9,2.37,1.89,8.96,6.9,2.63,4.09,-0.04,2.02
678,0.13,2.11,1.89,6.93,5.28,7.05,2.09,-0.64,0.55,2.08,0.61,0.2,1.51,5.25,,1.58,4.68,1.7,-0.5,0.78
679,1.83,1.34,1.66,1.67,6.13,0.01,0.79,-0.5,2.93,-0.99,-0.15,3.34,0.56,2.88,4.73,5.05,3.35,0.34,0.26,-0.87
680,7.18,0.51,-1.13,2.91,0.91,1.55,-0.01,1.18,-0.25,-1.38,6.1,1.03,-0.04,3.52,11.73,4.46,2.19,0.85,0.51,0.25
681,0.6,0.2,1.51,5.25,,-0.12,4.68,1.7,-0.5,0.47,3.24,1.34,0.79,1.85,6.13,1.67,5.51,1.66,-0.5,2.93
682,0.88,2.11,1.89,6.93,5.28,7.05,2.09,-0.64,-0.39,2.08,0.91,0.99,1.8,2.29,2.35,1.44,0.0,0.12,-0.01,-0.38
683,6.35,1.89,2.37,2.63,8.96,6.9,0.9,4.09,-0.61,2.02,2.74,4.41,4.41,3.34,5.3,0.33,2.7,0.24,-0.09,0.33
684,4.97,2.11,1.89,2.09,5.28,7.05,0.11,-0.64,0.55,2.08,2.47,1.34,1.32,0.79,6.13,5.51,1.66,0.28,1.67,2.93
685,4.11,0.99,1.8,2.29,2.35,1.76,1.3,0.0,-0.01,-0.38,3.72,-0.23,-0.59,2.51,2.5,3.68,0.58,0.82,-1.03,-1.24
686,2.77,1.89,2.37,2.63,8.96,6.9,0.81,4.09,-0.61,2.02,2.37,4.41,4.41,3.34,0.33,2.7,0.41,0.24,0.33,-0.09
687,1.37,0.2,1.51,5.25,,1.58,4.68,1.7,-0.5,0.47,0.48,0.9,2.37,1.89,8.96,6.9,2.63,4.09,-0.23,2.02
688,3.28,3.34,0.56,2.88,4.73,5.05,7.03,3.35,-1.02,0.34,1.47,3.52,1.03,0.84,11.73,4.46,2.19,0.85,0.51,0.25
689,2.72,0.77,-0.53,2.91,1.55,-1.13,2.87,1.18,-1.38,0.51,3.67,1.34,0.79,1.85,6.13,1.94,1.66,1.67,2.93,-0.99
690,-0.45,4.41,4.41,3.34,0.17,5.3,0.24,0.33,-1.43,-0.09,1.91,3.52,1.03,0.84,11.73,4.46,2.19,0.85,0.51,0.25
691,0.36,-0.23,-0.73,2.51,2.5,3.68,1.27,0.82,-2.04,,4.48,0.77,-0.2,2.91,1.55,0.91,2.87,-1.13,1.18,-1.38
692,0.52,1.89,-0.29,2.63,8.96,6.9,4.09,-0.04,-0.23,2.02,2.54,0.99,0.16,1.76,2.35,2.29,1.3,1.8,1.44,-0.22
693,0.32,1.34,1.32,1.85,6.13,5.51,1.94,1.66,1.67,2.93,2.84,-0.5,0.2,,1.58,4.68,1.7,-0.12,-0.78,0.78
694,4.24,3.52,-0.04,0.76,11.73,4.46,1.0,0.25,0.51,0.25,0.2,0.9,2.37,1.89,8.96,6.9,2.63,4.09,-0.23,2.02
695,0.61,-0.5,-0.48,5.25,,1.58,4.68,1.7,0.21,0.47,4.29,0.99,-0.38,1.76,2.35,2.29,1.3,1.8,1.44,-0.22
696,1.7,-0.23,-0.73,2.51,2.5,3.68,0.82,-0.17,-2.04,,2.2,3.34,0.56,2.88,4.73,5.05,7.03,3.35,0.34,-0.87
697,3.66,2.11,1.89,6.93,5.28,7.05,2.09,-0.64,0.55,2.08,0.04,4.41,4.41,3.34,2.7,0.33,0.41,0.24,0.01,-0.09
698,2.05,-0.04,0.76,3.52,11.73,4.46,1.0,0.85,-0.24,0.25,1.83,1.34,1.32,1.94,6.13,5.51,1.85,1.66,1.67,2.93
699,1.14,0.77,-0.53,2.91,1.55,-0.01,-1.13,2.87,1.18,-1.04,0.91,0.99,0.16,1.76,2.35,1.3,2.29,1.8,1.44,-0.22
700,0.42,-0.23,1.27,2.51,2.5,3.68,0.58,-0.43,-0.39,,4.5,3.34,0.56,2.88,4.73,5.05,3.35,-2.16,0.26,0.34
701,2.55,2.11,1.89,6.93,5.28,7.05,2.09,0.13,0.55,2.08,2.74,4.41,4.41,3.34,5.3,2.7,0.33,0.24,0.01,-0.09
702,2.37,4.41,4.41,2.7,5.3,0.33,3.34,0.24,0.01,-0.09,6.35,1.89,2.37,2.63,8.96,6.9,0.81,4.09,-0.23,2.02
703,6.1,1.03,-0.04,3.52,11.73,4.46,1.0,0.76,0.85,0.25,7.18,0.77,0.51,0.91,1.55,-0.2,2.87,-1.13,1.18,-1.38
704,3.24,1.66,1.32,1.94,6.13,5.51,1.85,0.48,1.34,2.93,4.11,0.99,-0.38,1.76,2.35,1.3,0.0,1.8,1.44,-0.22
705,-0.15,3.34,0.56,3.35,4.73,5.05,0.34,-0.03,0.26,-0.87,2.77,0.9,2.37,1.89,8.96,6.9,2.63,4.09,-0.23,2.02
706,0.82,4.41,4.41,2.7,5.3,0.33,3.34,0.24,0.33,-0.09,2.72,0.77,0.51,0.91,1.55,-0.2,2.87,-1.13,1.18,-1.38
707,1.47,1.03,-0.04,3.52,11.73,4.46,1.0,0.76,0.85,0.25,-0.13,0.16,0.12,0.99,2.35,1.3,1.8,1.44,-1.84,-0.22
708,1.37,-0.5,0.2,5.25,,1.58,4.68,1.7,0.21,0.47,4.97,2.11,1.89,6.93,5.28,7.05,2.09,0.13,0.55,2.08
709,2.47,1.66,1.32,1.94,6.13,5.51,1.85,0.48,1.34,2.93,3.72,-0.23,1.27,2.51,2.5,3.68,0.58,0.82,,-1.24
710,3.12,2.11,1.89,6.93,5.28,7.05,2.09,0.13,0.55,2.08,0.48,0.9,2.37,1.89,8.96,6.9,2.63,4.09,-0.23,2.02
711,0.42,3.34,0.56,3.35,4.73,5.05,0.34,-0.03,0.26,-0.62,4.48,0.77,-0.53,0.91,1.55,-1.13,2.87,1.18,-1.04,0.51
712,1.91,1.03,-0.04,3.52,11.73,4.46,1.0,0.85,0.76,0.25,2.54,0.99,0.12,1.76,2.35,1.3,1.8,0.0,1.44,-0.22
713,0.04,4.41,4.41,2.7,5.3,0.33,3.34,0.24,0.33,-0.09,2.84,-0.5,0.2,5.25,,1.58,4.68,1.7,-1.23,0.78
714,3.67,1.34,1.66,1.94,6.13,5.51,1.85,0.01,1.67,2.93,1.66,2.51,-1.41,2.5,3.68,0.58,1.27,0.2,,-1.24
715,-0.13,-0.23,1.27,2.51,2.5,3.68,0.58,0.82,,-1.24,1.18,1.34,1.66,1.94,6.13,5.51,1.85,0.01,1.67,2.93
716,0.6,-0.5,0.2,5.25,,1.58,1.7,4.68,0.21,0.47,0.4,3.34,0.56,3.35,4.73,5.05,0.34,-2.16,0.26,-0.62
717,0.61,1.51,-0.48,5.25,,1.58,1.7,-0.5,-0.36,0.47,4.24,1.03,-0.04,3.52,11.73,4.46,2.19,0.85,0.51,0.44
718,0.88,0.13,1.89,6.93,5.28,7.05,2.11,-0.64,-0.39,2.08,-0.35,2.51,-1.41,2.5,0.58,-0.59,-0.43,-0.03,0.2,-1.24
719,7.18,-0.53,-1.04,-0.78,1.55,2.87,-0.24,1.18,-0.1,-0.18,1.7,-0.23,1.27,2.51,2.5,0.58,0.82,-0.03,-2.04,
720,4.11,-0.1,1.82,3.95,1.85,4.96,-0.17,0.11,-0.8,-0.33,4.0,3.82,0.8,3.68,6.38,5.27,2.07,1.87,2.78,-1.11
721,2.03,3.88,-1.43,0.91,7.57,3.17,0.53,0.64,-1.67,0.37,4.77,-0.78,-1.25,2.44,0.06,3.59,1.03,0.52,0.47,-0.4
722,1.24,4.44,0.59,3.05,-1.03,1.83,0.45,-0.35,-0.15,-1.66,3.19,-1.01,1.61,6.3,1.73,0.42,2.14,1.84,0.4,1.99
723,4.43,1.3,-0.76,4.15,3.69,4.69,0.29,4.21,-0.13,3.14,2.7,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.74,-0.32
724,2.44,0.36,5.21,5.2,0.88,1.27,5.75,-0.27,-0.61,-0.58,1.76,4.13,1.44,-0.49,2.86,3.21,3.12,0.7,3.06,0.2
725,4.01,0.36,5.21,0.88,1.27,5.75,5.2,-0.27,-0.96,-0.58,0.51,4.13,1.44,3.12,2.86,3.21,-0.49,0.7,3.06,-0.25
726,6.61,-0.17,-0.1,3.95,1.85,4.96,4.93,1.82,-0.8,-0.33,3.8,3.82,-0.22,3.68,6.38,5.27,2.07,1.87,2.78,-1.11
727,-0.29,3.88,-1.43,0.91,7.57,0.36,3.17,-0.97,0.64,-0.61,1.69,-0.78,-1.25,2.44,0.06,3.59,1.03,0.52,0.47,-0.4
728,0.55,0.59,-1.0,1.83,3.05,-1.03,4.44,0.45,-0.15,-1.66,5.54,-1.01,1.61,6.3,1.73,0.42,2.14,1.84,1.24,1.99
729,2.4,1.3,-0.76,4.15,3.69,4.69,0.29,-0.13,4.21,3.14,0.74,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.74,-0.32
730,0.23,0.59,-1.0,1.83,-0.64,4.44,0.45,,-0.15,-1.66,0.45,-1.01,1.61,6.3,1.73,0.42,2.14,1.84,0.4,1.99
731,0.53,5.21,0.36,5.2,0.88,1.27,5.75,-0.27,-0.96,-0.58,0.83,4.13,1.72,1.44,2.86,3.21,3.12,-0.49,0.7,3.06
732,-0.13,3.82,-0.22,3.68,6.38,5.27,1.87,-0.07,2.78,-1.11,3.51,1.3,-0.76,4.15,3.69,4.69,0.29,-0.13,0.34,3.14
733,1.21,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,1.99,1.84,2.8,5.21,0.36,5.2,0.88,1.27,5.75,-0.27,0.43,-0.61
734,-0.08,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.74,-0.32,1.64,-1.0,0.59,1.83,3.05,4.44,0.45,-1.66,-0.64,-0.15
735,3.08,-0.78,-1.25,2.44,0.06,3.59,0.52,-0.47,0.47,-0.4,0.87,-0.17,-0.1,3.95,4.93,4.96,1.82,-0.8,-0.33,-0.37
736,0.02,4.13,1.72,1.44,2.86,3.21,3.12,-0.49,0.7,3.06,-0.25,3.88,0.36,0.91,7.57,3.17,0.64,0.37,-1.18,-1.67
737,1.63,3.82,-0.22,3.68,6.38,5.27,1.17,1.87,2.78,-0.44,5.4,1.3,-0.76,4.15,3.69,4.69,0.29,-0.13,4.21,3.14
738,1.17,-1.01,0.4,6.3,1.73,0.42,2.14,1.61,1.99,1.84,-0.02,5.21,2.22,5.2,0.88,1.27,5.75,0.36,-0.96,-0.27
739,1.71,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.74,-0.32,0.61,-1.0,0.59,1.83,3.05,4.44,-1.66,0.45,-0.64,-0.15
740,3.42,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2,-0.29,3.88,0.36,0.91,7.57,3.17,0.64,-1.43,-0.97,-1.67
741,4.0,3.82,-0.22,3.68,6.38,5.27,2.07,1.87,2.78,-1.11,0.16,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,0.34,3.14
742,3.19,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,1.99,1.84,2.44,5.21,2.22,5.2,0.88,1.27,5.75,0.36,-0.61,-0.27
743,2.7,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.56,-0.32,0.33,0.59,-0.15,3.05,2.32,-1.03,4.44,0.45,-1.66,-0.22
744,4.77,0.52,-1.25,2.44,0.06,3.59,0.38,-0.47,0.47,-0.4,2.87,-0.17,1.82,3.95,1.85,4.96,4.93,0.11,0.87,-0.33
745,1.76,4.13,1.05,1.44,2.86,3.21,-0.49,0.7,3.06,0.2,2.03,3.88,-0.05,0.53,7.57,3.17,0.36,0.64,-0.61,-1.18
746,-0.05,3.88,0.91,7.57,0.53,0.64,3.17,-1.67,-0.97,-1.18,3.8,3.82,1.87,3.68,6.38,5.27,2.07,2.78,0.8,-1.11
747,0.51,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2,4.43,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14
748,1.69,-1.25,0.38,2.44,0.06,3.59,0.52,-0.47,0.47,-0.58,5.54,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,1.99,1.84
749,0.74,4.26,1.63,1.16,8.93,2.67,1.74,0.95,0.74,-0.32,4.01,5.21,2.22,5.2,1.27,5.75,0.36,-0.96,-0.58,-0.27
750,4.11,-0.17,1.82,3.95,1.85,4.96,4.93,0.11,-0.8,-0.33,1.24,4.44,1.83,3.05,2.32,-1.03,-1.66,0.45,-0.15,-1.0
751,-0.07,4.26,1.74,1.16,8.93,2.67,0.95,1.63,0.74,-0.32,0.53,0.36,2.22,5.21,1.27,5.2,5.75,-0.96,-0.02,-0.58
752,0.44,3.88,-0.97,0.91,7.57,0.37,3.17,-1.43,-0.39,-0.61,2.9,3.82,1.87,3.68,6.38,5.27,2.07,2.78,0.8,-1.11
753,0.83,4.13,0.2,1.44,2.86,3.21,-0.49,0.7,3.06,0.05,2.4,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14
754,0.23,-1.25,1.41,2.44,0.38,3.59,0.52,1.29,0.47,-0.4,0.45,-0.77,1.99,6.3,1.73,0.42,2.14,1.61,0.56,1.84
755,6.61,-0.17,1.82,3.95,1.85,4.96,0.11,-0.8,-0.74,-0.33,0.55,-1.0,1.83,3.05,2.32,4.44,-1.03,-1.66,0.45,-0.15
756,-0.25,3.88,-1.43,0.91,0.53,7.57,3.17,0.64,-0.97,-1.67,-0.13,3.82,1.87,3.68,6.38,5.27,2.07,2.78,0.8,-1.11
757,0.02,4.13,-0.25,1.44,2.86,3.21,-0.49,0.7,-0.42,3.06,3.51,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14
758,-0.08,0.27,1.74,1.16,8.93,2.67,0.95,1.63,0.56,-0.32,2.8,0.36,2.22,5.21,1.27,5.2,5.75,-0.96,-0.02,-0.58
759,0.87,-0.1,-0.17,3.95,1.85,4.96,1.82,0.11,0.87,-0.33,0.23,-1.0,1.83,2.32,3.05,4.44,-1.03,-1.66,0.45,0.59
760,3.08,-1.25,-0.47,2.44,3.59,1.29,0.52,0.2,0.47,-0.4,1.21,-0.77,0.4,6.3,1.73,0.42,2.14,1.61,1.99,1.84
761,-0.22,0.36,2.22,5.21,1.27,5.2,5.75,-0.96,-0.02,-0.58,4.77,-1.25,-0.02,2.44,3.59,1.29,0.52,-0.47,0.47,3.68
762,0.12,-0.1,-0.17,3.95,1.85,4.96,1.82,0.87,-0.8,-0.33,1.17,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,1.99,1.84
763,1.63,-0.22,3.82,3.68,6.38,5.27,2.07,2.78,-0.44,1.87,1.71,0.27,1.74,4.26,8.93,1.16,2.67,0.95,0.74,-0.32
764,1.64,0.59,-1.0,2.32,3.05,-1.03,4.44,-0.64,0.45,-0.15,3.42,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2
765,5.4,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14,2.03,3.88,4.35,0.91,7.57,0.53,3.17,-0.97,-0.45,-1.67
766,2.44,0.36,2.22,5.21,1.27,5.75,-0.96,5.2,-0.58,-0.02,1.69,-1.25,0.52,2.44,0.06,3.59,1.03,1.29,-0.7,3.68
767,2.87,3.95,-0.33,1.82,1.85,4.96,0.11,-0.8,-0.46,0.8,3.19,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,0.4,1.99
768,4.0,-0.22,3.82,3.68,6.38,5.27,1.17,2.78,-1.11,1.87,2.7,0.27,1.63,4.26,8.93,2.67,0.95,0.95,0.56,-0.32
769,1.45,4.44,0.59,2.32,-1.03,3.05,1.83,0.45,-1.66,-1.0,1.76,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2
770,0.16,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,5.92,3.14,-0.05,4.35,3.88,0.91,7.57,3.17,0.53,0.37,0.64,0.0
771,4.01,5.21,2.22,0.88,1.27,5.2,5.75,0.36,-0.96,-0.02,0.19,-1.25,0.2,2.44,3.59,1.29,0.38,1.03,0.47,-0.58
772,4.11,-0.1,0.8,3.95,1.85,4.96,1.82,0.11,-0.8,-0.33,5.54,-0.77,-1.01,6.3,1.73,0.42,2.14,1.61,1.99,1.84
773,3.8,-0.22,3.82,3.68,6.38,5.27,1.17,2.78,-1.11,1.87,0.74,0.27,1.63,4.26,8.93,1.16,2.67,0.95,0.74,-0.32
774,0.33,0.59,-1.0,2.32,-1.03,3.05,1.83,4.44,-0.24,-1.66,0.51,4.13,1.05,1.72,2.86,3.21,-0.49,0.7,3.06,0.2
775,4.43,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,5.92,3.14,-0.18,4.35,0.91,-0.2,7.57,-0.28,3.88,3.17,0.64,0.37
776,0.53,5.21,2.22,0.88,1.27,0.36,-0.96,-0.4,-0.02,-0.31,2.9,-0.22,1.87,3.68,6.38,5.27,1.17,2.78,-1.7,-1.11
777,-0.08,0.27,1.63,4.26,8.93,1.16,0.95,-0.73,0.56,-0.32,2.4,1.3,-0.76,4.15,3.69,4.1,0.29,4.21,-0.26,3.14
778,0.45,-0.77,-1.01,6.3,1.73,0.42,2.14,1.61,1.99,1.84,1.24,0.59,-1.0,2.32,3.05,1.83,-1.03,4.44,-0.24,-1.66
779,0.83,4.13,1.72,1.44,2.86,-0.49,3.06,0.2,0.05,-0.55,6.61,-0.1,0.8,3.95,1.85,4.96,1.82,-0.17,-0.8,-0.33
780,0.23,-1.25,0.52,2.44,0.06,3.59,0.38,1.03,-0.7,3.68,-0.25,4.35,0.37,0.53,7.57,0.91,3.17,0.64,-0.97,-0.61
781,-0.31,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02,1.63,-0.22,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-0.44
782,0.37,0.27,1.63,4.26,8.93,1.16,2.67,0.95,0.56,-0.32,5.4,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14
783,1.21,-1.01,-0.77,6.3,1.73,0.42,2.14,1.61,1.99,1.84,0.23,0.59,-0.15,2.32,3.05,1.83,0.45,-1.66,-1.0,-0.22
784,3.42,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2,0.87,-0.1,0.8,3.95,1.85,4.96,1.82,-0.17,-0.46,-0.33
785,3.08,-1.25,0.52,2.44,0.06,3.59,0.38,1.03,-0.7,3.68,2.03,3.88,4.35,0.91,7.57,-1.43,3.17,-0.97,0.64,-0.61
786,4.0,-0.22,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11,4.77,-1.25,0.52,2.44,0.06,3.59,1.03,1.29,-0.7,3.68
787,1.76,3.06,1.72,1.44,2.86,3.21,-0.49,0.7,0.3,0.2,3.19,-1.01,1.99,6.3,1.73,0.42,2.14,1.84,-0.77,-0.35
788,0.69,3.88,4.35,0.36,7.57,0.91,3.17,0.64,-0.97,-0.61,2.44,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02
789,3.51,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14,1.64,4.44,0.59,2.32,3.05,1.83,0.45,-1.66,-0.15,-1.0
790,1.71,0.27,1.63,4.26,8.93,1.16,2.67,0.95,0.74,-0.32,2.87,0.6,0.8,3.95,1.85,4.96,1.82,4.93,-0.56,-0.46
791,3.8,-0.22,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11,1.69,-1.25,0.52,2.44,0.06,3.59,0.38,1.03,0.47,3.68
792,0.02,3.06,1.72,4.13,2.86,3.21,-0.49,1.44,0.7,0.2,5.54,-0.77,0.4,6.3,1.73,0.42,2.14,1.99,0.41,1.84
793,-0.25,4.35,3.88,0.53,7.57,0.36,0.37,0.64,3.17,-0.61,4.01,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02
794,4.43,1.3,-0.76,4.15,3.69,4.69,0.29,4.1,4.21,3.14,1.45,0.59,-1.0,2.32,3.05,1.83,-1.03,4.44,-0.24,-1.0
795,0.74,0.27,-0.32,4.26,8.93,2.67,0.74,0.95,0.95,1.63,4.11,3.95,0.6,1.85,1.82,4.96,4.93,-0.17,-0.8,3.34
796,2.9,-0.22,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11,0.23,0.52,3.68,2.44,0.38,3.59,1.03,1.29,-0.7,-1.25
797,0.51,1.72,4.13,-0.49,2.86,3.21,0.7,3.06,1.05,0.2,0.45,-0.77,0.4,6.3,1.73,0.42,2.14,1.99,0.41,1.84
798,-0.05,0.37,4.35,3.88,7.57,0.36,0.53,3.17,0.64,0.0,2.8,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02
799,0.16,1.3,-0.76,4.15,4.1,-0.13,0.29,4.21,-0.26,3.14,0.33,0.59,-1.0,2.32,3.05,1.83,-1.03,4.44,-0.24,-1.0
800,0.18,0.27,1.63,4.26,8.93,2.67,1.16,0.95,0.74,-0.32,6.61,0.6,3.34,3.95,1.85,4.96,1.82,4.93,0.8,-0.8
801,2.03,4.35,0.37,3.88,7.57,0.64,3.17,0.36,0.53,-0.61,2.4,1.3,-0.76,4.15,3.69,4.69,-0.13,4.21,-0.17,3.14
802,-0.13,-0.22,0.99,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11,0.13,-1.01,-0.77,6.3,1.73,0.42,1.99,0.4,0.41,0.56
803,0.12,0.6,3.34,3.95,1.85,4.96,1.82,4.93,0.8,-0.8,-0.31,5.21,2.22,0.88,1.27,5.2,-0.96,0.36,-0.02,-0.31
804,0.55,0.59,4.44,2.32,3.05,1.83,-1.03,0.64,-0.24,-0.15,-0.07,0.27,1.63,4.26,8.93,2.67,1.16,0.95,0.74,-0.32
805,0.0,-1.25,0.38,2.44,0.06,3.59,1.03,1.29,0.47,3.68,0.83,1.72,4.13,-0.49,2.86,3.21,0.7,3.06,1.05,0.2
806,0.26,0.37,4.35,0.64,7.57,3.17,0.36,0.53,-0.61,3.88,5.4,1.3,-0.76,4.15,3.69,4.69,0.29,4.21,5.92,3.14
807,1.63,0.99,0.8,3.68,6.38,5.27,2.07,2.78,-1.7,-0.44,1.21,-1.01,0.4,6.3,1.73,0.42,2.14,1.99,0.41,1.84
808,-0.92,0.6,0.8,3.95,4.93,4.96,1.82,3.34,-0.46,-0.56,-0.02,5.21,2.22,0.88,1.27,5.2,-0.96,0.36,-0.02,-0.31
809,1.24,0.39,0.59,2.32,3.05,1.83,-1.03,4.44,-0.24,-0.15,0.37,0.27,-0.63,4.26,8.93,2.67,1.16,0.95,0.56,-0.32
810,3.08,0.52,0.38,2.44,0.06,3.59,3.68,1.03,-0.7,-1.25,3.42,1.72,4.13,-0.49,2.86,3.21,0.7,3.06,1.05,0.2
811,4.0,0.99,0.8,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11,3.19,-1.01,0.4,6.3,1.73,0.42,2.14,1.99,0.41,1.84
812,2.87,0.6,0.8,3.95,4.93,4.96,1.82,3.34,-0.46,-0.56,2.44,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02
813,0.61,0.59,0.64,2.32,3.05,1.83,4.44,-0.15,-0.24,-1.66,1.71,0.27,-0.32,4.26,8.93,1.16,2.67,0.74,0.95,1.63
814,4.77,0.2,1.03,0.38,3.59,0.06,1.29,3.68,-0.7,-0.58,1.76,1.72,4.13,-0.49,2.86,3.21,0.7,3.06,1.05,0.2
815,0.69,3.88,4.35,0.36,7.57,0.64,0.53,3.12,0.37,-0.61,3.51,1.3,-0.76,-0.13,4.1,4.69,0.29,4.21,5.92,3.14
816,0.12,4.13,1.72,-0.49,2.86,3.21,1.44,0.7,3.06,0.2,3.8,0.99,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11
817,5.54,-1.01,0.4,6.3,1.73,0.42,2.14,1.99,0.41,1.84,4.43,1.3,-0.76,4.15,4.1,4.69,0.29,5.92,-0.13,3.14
818,1.69,0.52,1.03,0.38,0.06,3.59,1.29,3.68,-0.7,-0.58,0.74,0.27,1.63,4.26,8.93,2.67,0.95,0.74,0.95,-1.35
819,4.01,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,0.36,-0.02,1.64,0.39,0.59,2.32,3.05,1.83,4.44,-1.03,-0.24,-0.15
820,4.11,0.8,0.6,3.95,1.85,4.96,-0.17,1.82,3.34,-0.46,-0.25,3.12,4.35,0.36,7.57,0.64,0.53,3.88,0.37,-0.61
821,0.45,1.99,-1.01,6.3,1.73,2.14,1.84,1.24,0.41,-0.25,-0.06,1.3,-0.76,4.15,4.1,-0.13,5.92,-0.17,-0.26,3.14
822,2.8,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,-0.02,0.36,1.45,0.59,-1.0,2.32,3.05,-1.03,4.44,0.64,-0.24,-0.15
823,0.51,4.13,1.72,1.44,2.86,3.21,-0.49,0.7,3.06,0.2,2.9,0.99,1.87,3.68,6.38,5.27,2.07,2.78,-1.7,-1.11
824,0.13,1.84,0.41,6.3,1.73,2.14,1.99,1.24,0.52,0.56,2.4,1.3,-0.76,4.15,4.1,4.69,0.29,4.21,5.92,3.14
825,0.0,0.52,1.03,2.44,0.06,3.59,0.38,3.68,-0.45,-1.25,0.18,0.27,1.63,4.26,8.93,2.67,1.16,0.95,0.74,-1.35
826,-0.31,5.21,2.22,0.88,1.27,5.2,5.75,-0.96,-0.02,0.36,0.33,0.59,-1.0,2.32,3.05,-1.03,4.44,0.64,-0.24,-1.66
